Algorithm,EBM,EBM
Set,Train,Valid
Sensitivity,0.726 [0.63-0.81],0.66 [0.48-0.82]
Specificity,0.759 [0.66-0.83],0.643 [0.45-0.84]
FPR,0.241 [0.17-0.34],0.357 [0.16-0.55]
FNR,0.274 [0.19-0.37],0.34 [0.18-0.52]
Precision,0.843 [0.81-0.88],0.768 [0.69-0.88]
PPV,0.843 [0.81-0.88],0.768 [0.69-0.88]
NPV,0.609 [0.56-0.66],0.513 [0.41-0.65]
F1,0.783 [0.74-0.81],0.712 [0.58-0.81]
F2,0.749 [0.67-0.81],0.679 [0.52-0.81]
ROCAUC,0.812 [0.79-0.83],0.711 [0.58-0.78]
PRAUC,0.885 [0.87-0.9],0.814 [0.7-0.87]
Brier,0.173 [0.17-0.18],0.203 [0.18-0.24]
