Algorithm,EBM,EBM
Set,Train,Valid
Sensitivity,0.623 [0.52-0.7],0.588 [0.45-0.7]
Specificity,0.665 [0.58-0.76],0.621 [0.46-0.82]
FPR,0.335 [0.24-0.42],0.379 [0.18-0.54]
FNR,0.377 [0.3-0.48],0.412 [0.3-0.55]
Precision,0.767 [0.75-0.8],0.734 [0.65-0.85]
PPV,0.767 [0.75-0.8],0.734 [0.65-0.85]
NPV,0.492 [0.46-0.52],0.452 [0.37-0.54]
F1,0.687 [0.63-0.73],0.653 [0.53-0.74]
F2,0.647 [0.56-0.71],0.61 [0.48-0.71]
ROCAUC,0.686 [0.67-0.7],0.66 [0.53-0.77]
PRAUC,0.795 [0.79-0.8],0.775 [0.69-0.86]
Brier,0.207 [0.2-0.21],0.212 [0.2-0.24]
