Algorithm,EBM,EBM
Set,Train,Valid
Sensitivity,0.602 [0.48-0.73],0.515 [0.35-0.69]
Specificity,0.738 [0.59-0.83],0.586 [0.39-0.79]
FPR,0.262 [0.17-0.41],0.414 [0.21-0.61]
FNR,0.398 [0.27-0.52],0.485 [0.31-0.65]
Precision,0.803 [0.76-0.84],0.688 [0.59-0.79]
PPV,0.803 [0.76-0.84],0.688 [0.59-0.79]
NPV,0.507 [0.47-0.55],0.406 [0.31-0.49]
F1,0.689 [0.6-0.75],0.601 [0.45-0.69]
F2,0.633 [0.52-0.74],0.547 [0.38-0.69]
ROCAUC,0.721 [0.7-0.74],0.583 [0.49-0.69]
PRAUC,0.816 [0.8-0.83],0.718 [0.63-0.78]
Brier,0.21 [0.2-0.22],0.226 [0.22-0.24]
