Algorithm,EBM,EBM
Set,Train,Valid
Sensitivity,0.597 [0.5-0.74],0.588 [0.4-0.75]
Specificity,0.704 [0.41-0.78],0.607 [0.38-0.8]
FPR,0.296 [0.22-0.59],0.393 [0.2-0.62]
FNR,0.403 [0.26-0.5],0.412 [0.25-0.6]
Precision,0.782 [0.68-0.81],0.733 [0.64-0.84]
PPV,0.782 [0.68-0.81],0.733 [0.64-0.84]
NPV,0.493 [0.41-0.54],0.451 [0.36-0.57]
F1,0.679 [0.62-0.75],0.648 [0.51-0.76]
F2,0.628 [0.54-0.74],0.61 [0.43-0.74]
ROCAUC,0.696 [0.54-0.71],0.648 [0.51-0.75]
PRAUC,0.806 [0.68-0.82],0.779 [0.67-0.86]
Brier,0.205 [0.2-0.23],0.216 [0.2-0.23]
